iter	Passed	Remaining
845	10549	1920
846	10567	1908
847	10571	1894
848	10587	1882
849	10608	1872
850	10620	1859
851	10633	1847
852	10641	1833
853	10653	1821
854	10664	1808
855	10671	1795
856	10681	1782
857	10686	1768
858	10696	1755
859	10702	1742
860	10713	1729
861	10719	1716
862	10729	1703
863	10739	1690
864	10752	1678
865	10762	1665
866	10768	1651
867	10779	1639
868	10795	1627
869	10802	1614
870	10815	1601
871	10827	1589
872	10836	1576
873	10849	1564
874	10864	1552
875	10875	1539
876	10885	1526
877	10891	1513
878	10898	1500
879	10908	1487
880	10914	1474
881	10923	1461
882	10930	1448
883	10941	1435
884	10948	1422
885	10959	1410
886	10965	1396
887	10974	1384
888	10982	1371
889	10991	1358
890	10998	1345
891	11007	1332
892	11015	1319
893	11027	1307
894	11036	1294
895	11045	1282
896	11057	1269
897	11065	1256
898	11076	1244
899	11084	1231
900	11094	1219
901	11103	1206
902	11125	1195
903	11143	1183
904	11155	1171
905	11165	1158
906	11177	1146
907	11181	1132
908	11190	1120
909	11197	1107
910	11209	1095
911	11219	1082
912	11231	1070
913	11244	1058
914	11259	1045
915	11268	1033
916	11277	1020
917	11287	1008
918	11295	995
919	11309	983
920	11319	970
921	11330	958
922	11345	946
923	11356	934
924	11363	921
925	11374	908
926	11393	897
927	11404	884
928	11459	875
929	11513	866
930	11523	854
931	11547	842
932	11557	829
933	11565	817
934	11573	804
935	11581	791
936	11589	779
937	11602	766
938	11619	754
939	11641	743
940	11651	730
941	11660	717
942	11672	705
943	11680	692
944	11687	680
945	11694	667
946	11704	655
947	11716	642
948	11722	629
949	11732	617
950	11738	604
951	11748	592
952	11774	580
953	11805	569
954	11838	557
955	11868	546
956	11910	535
957	11953	524
958	11963	511
959	11970	498
960	11979	486
961	11987	473
962	12020	461
963	12030	449
964	12040	436
965	12050	424
966	12056	411
967	12078	399
968	12084	386
969	12090	373
970	12101	361
971	12106	348
972	12115	336
973	12121	323
974	12130	311
975	12137	298
976	12148	285
977	12157	273
978	12169	261
979	12179	248
980	12186	236
981	12195	223
982	12202	211
983	12213	198
984	12224	186
985	12235	173
986	12249	161
987	12263	148
988	12274	136
989	12285	124
990	12294	111
991	12302	99
992	12311	86
993	12320	74
994	12330	61
995	12343	49
996	12351	37
997	12362	24
998	12373	12
999	12384	0
